alpha,step,delta_v
1.0,107,0.586851782358936
1.0,108,0.5850155851943464
1.0,109,0.5843290962530662
1.0,110,0.5856364065321629
1.0,111,0.5843689319837504
1.0,112,0.5866646990198374
1.0,113,0.5832521759611815
1.0,114,0.586594481126367
1.0,115,0.5888586205981996
1.0,116,0.5861689656466766
1.0,117,0.5832346688965121
1.0,118,0.5836267459336785
1.0,119,0.5800680048677834
1.0,120,0.5808109364649167
1.0,121,0.5846795508585781
1.0,122,0.5856687472765774
1.0,123,0.5868912621643155
1.0,124,0.5885302287068181
1.0,125,0.5844806974507565
1.0,126,0.5864635099703697
1.0,127,0.5892048692140098
1.0,128,0.5869698190382762
1.0,129,0.5857905231366647
1.0,130,0.5837906313122322
1.0,131,0.5829187453712459
1.0,132,0.5831618984647438
1.0,133,0.5820711759561742
1.0,134,0.58414273788957
1.0,135,0.5829207964750348
1.0,136,0.5817046676667725
1.0,137,0.5803058978176284
1.0,138,0.5800564585389785
1.0,139,0.5820056377537837
1.0,140,0.5833331100698933
1.0,141,0.583598019422851
1.0,142,0.582557201648807
1.0,143,0.5827172506249318
1.0,144,0.5847550155313171
1.0,145,0.5849030536214375
1.0,146,0.583785551162405
1.0,147,0.5828770512453277
1.0,148,0.5839953504545258
1.0,149,0.5845471367914491
1.0,150,0.5820090558200586
1.0,151,0.5823765668659289
1.0,152,0.5825338811624193
1.0,153,0.5815354133207026
1.0,154,0.5825503723139408
1.0,155,0.5825556362659088
1.0,156,0.5839338378444525
1.0,157,0.5844244304387725
1.0,158,0.5844665435135441
1.0,159,0.5839968935096013
1.0,160,0.5857926687836535
1.0,161,0.5872307124689273
1.0,162,0.58615573963628
1.0,163,0.5840754509759065
1.0,164,0.5842482815655974
1.0,165,0.5828398813522477
1.0,166,0.580607646470217
1.0,167,0.5830581822213571
1.0,168,0.5830937090321435
1.0,169,0.5817425138718706
1.0,170,0.5838652261827169
1.0,171,0.5843952935861969
1.0,172,0.5861240577979759
1.0,173,0.5853863287184066
1.0,174,0.5845682102106528
1.0,175,0.584339424537987
1.0,176,0.5827846448173861
1.0,177,0.5823016605606726
1.0,178,0.5848594952668862
1.0,179,0.5844827603253292
1.0,180,0.5862073797283126
1.0,181,0.5861721634959554
1.0,182,0.5859930785584545
1.0,183,0.5859314724029027
1.0,184,0.5833477494815079
1.0,185,0.5827871844641461
1.0,186,0.5806748755304492
1.0,187,0.5817753019834355
1.0,188,0.5828121558828303
1.0,189,0.5833254373652682
1.0,190,0.5842709180700103
1.0,191,0.5860284722662878
1.0,192,0.5893919176505669
1.0,193,0.5890007145230506
1.0,194,0.5885542429913948
1.0,195,0.587067335651136
1.0,196,0.5861817501644783
1.0,197,0.5864445825390654
1.0,198,0.5858442695699132
1.0,199,0.583459015922805
